metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
http_reqs,1648224820,1.000000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_duration,1648224820,119.840000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_blocked,1648224820,649.361000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_connecting,1648224820,120.582000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_tls_handshaking,1648224820,466.276000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_sending,1648224820,0.147000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_waiting,1648224820,119.270000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_receiving,1648224820,0.423000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
http_req_failed,1648224820,0.000000,,,,true,,GET,01_Home,HTTP/1.1,default,,200,,tls1.2,https://test.k6.io,
checks,1648224820,1.000000,is status 200,,,,,,,,default,,,,,,
vus,1648224821,1.000000,,,,,,,,,,,,,,,
vus_max,1648224821,1.000000,,,,,,,,,,,,,,,
vus,1648224822,1.000000,,,,,,,,,,,,,,,
vus_max,1648224822,1.000000,,,,,,,,,,,,,,,
data_sent,1648224823,511.000000,,,,,,,,,default,,,,,,
data_received,1648224823,16752.000000,,,,,,,,,default,,,,,,
iteration_duration,1648224823,2989.123245,,,,,,,,,default,,,,,,
iterations,1648224823,1.000000,,,,,,,,,default,,,,,,
